REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS;Data_Descredenciamento;Motivo_do_Descredenciamento
"321877";"01476079000194";"UNIMED GOIANÉSIA COOPERATIVA DE TRABALHO MÉDICO LTDA.";"UNIMED GOIANÉSIA";"Cooperativa Médica";"AV BRASIL ";"317";;"CENTRO";"Goianésia";"GO";"76380000";"062";"3533377";"3533983";"goianesi@cultura.com.br";"OSCAR RODOLFO GUZMÁN SALVATIERRA";"DIRETOR PRESIDENTE";5;"1998-12-24";"2006-02-02";"Pedido de cancelamento"
"347230";"63202063000140";"UNIMED ILHEUS COOPERATIVA DE TRABALHO MEDICO";;"Cooperativa Médica";"AV. SOARES LOPES";"1196";;"CENTRO";"Ilhéus";"BA";"45653005";"73";"21012700";"21012700";"unimedilheus@uol.com.br";"ANÍSIO ALVES DE CARVALHO";"REPRESENTANTE";5;"1998-12-21";"2019-12-13";"Pedido de cancelamento"
"302571";"01723629000122";"UNIMED INTRAF.-FED. REG. RIOS DOCE, JEQUITINHONHA E MUCURI";"UNIMED REGIONAL  DO LESTE/NORDESTE MINEIRO";"Cooperativa Médica";"AV. BRASIL";"2959";;"CENTRO";"Governador Valadares";"MG";"35020070";"33";"2756990 R:0";"2756990";"uniintra@goval.com.br";"DR. EDUARDO MIGLIO";"DIRETOR PRESIDENTE";;"1998-12-30";"2001-04-06";"Pedido de cancelamento"
"302856";"02558723000136";"UNIMED INTRAFEDERAT.FEDERAÇÃO DAS COOP.DO NORTE DO PARANA";"UNIMED INTRAFEDERATIVA";"Cooperativa Médica";"RUA SENADOR SOUZA NAVES";"1333";;"CENTRO";"Londrina";"PR";"86010160";"043";"3246160";"3246160";"control@londrina.unimed.com.br";"MAURI APARECIDO RAPHAELI";"DIRETOR PRESIDENTE";;"1999-01-15";"2002-05-02";"Pedido de cancelamento"
"310018";"01722338000110";"UNIMED INTRAFEDERATIVA FED REG. DAS UNIMED S DA ZONA DA MATA MINEIRA";"UNIMED INTRAFEDERATIVA";"Cooperativa Médica";"RUA ESPIRITO SANTO";"1115";"SALA 810";"CENTRO";"Juiz de Fora";"MG";"36016200";"32";"32170050";"32165618";"Unimedmatamineira@artnet.com.br";"HUGO CAMPOS BORGES";"DIRETOR";;"1998-12-17";"2005-09-05";"Pedido de cancelamento"
"346942";"01529390000154";"UNIMED INTRAFEDERATIVA FED UNIMEDS TRIANG MIN ALTO PARANAIBA";"FEDERAÇÃO INTRAFEDERATIVA TRIANGULO MINEIRO E ALTO PARANAÍBA";"Cooperativa Médica";"RUA MACHADO DE ASSIS";"227";;"CENTRO";"Uberlândia";"MG";"38400112";"34";"32350266";"32365611";"uni853@centershop.com.br";"WILLIAM MANOEL CECILIO";"DIRETOR PRESIDENTE";5;"1998-12-17";"2006-12-08";"Pedido de cancelamento"
"364096";"01868921000133";"UNIMED INTRAFEDERATIVA FEDERAÇÃO INCONFIDÊNCIA MINEIRA";"INTRAFEDERATIVA INCONFIDÊNCIA MINEIRA";"Cooperativa Médica";"Avenida Brasil";"491";"sala 309";"SANTA EFIGENIA";"Belo Horizonte";"MG";"30140000";"31";"32413155";"32413155";"unintra@gold.com.br";"ANTONIO CARLOS PINTO GUIMARÃES";"DIRETOR ADMINISTRATIVO E DE IN";;"1998-12-16";"2002-07-19";"Pedido de cancelamento"
"357065";"13245683000199";"UNIMED ITABUNA COOPERATIVA DE TRABALHO MEDICO";"UNIMED ITABUNA";"Cooperativa Médica";"RUA FIRMINO ALVES";"118";;"CENTRO";"Itabuna";"BA";"45600185";"73";"21033030";"36133030";"marvione@unimeditabuna.com.br";"SILVIO PORTO DE OLIVEIRA";"DIRETOR PRESIDENTE";5;"1998-12-21";"2020-08-05";"Pedido de cancelamento"
"316172";"73424889000108";"UNIMED ITAQUI RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.";"UNIMED ITAQUI/RS";"Cooperativa Médica";"RUA DOM PEDRO II";"1716";;"CAPELINHA";"Itaqui";"RS";"97650000";"55";"34331458";"34332592";"unimed@itaqui.unimed.com.br";"ANTONIO CARLOS LUCENA BELTRÃO";"PRESIDENTE";5;"1998-12-22";"2015-12-23";"Pedido de cancelamento"
"329975";"00190758000130";"UNIMED MERCOSUL - CONFED. DE FEDER.DE COOP.UNIMED REG.BRASIL";"UNIMED MERCOSUL";"Cooperativa Médica";"AV.RIO BRANCO";"825";"3º ANDAR";"CENTRO";"Florianópolis";"SC";"88015203";"48";"2234323";"2236203";"merconta@zaz.com.br";"LUIZ CARLOS MISURELLI PALMQUIST";"PRESIDENTE";;"1998-12-17";"2001-11-22";"Pedido de cancelamento"
"343315";"64325228000134";"UNIMED MONTE CARMELO COOPERATIVA DE TRABALHO MEDICO LTDA.";"UNIMED MONTE CARMELO";"Cooperativa Médica";"Praça Celso Bueno";"120";"sala 2";"CENTRO";"Monte Carmelo";"MG";"38500000";"34";"38421059";"38421059";;"PAULO SEVERO BARBOSA CÔRTES";"DIRETOR PRESIDENTE";5;"1998-12-30";"2017-07-06";"Pedido de cancelamento"
"389421";"08566440000112";"UNIMED MOSSORÓ - COOPERATIVA DE TRABALHOS MEDICOS";"UNIMED MOSSORÓ";"Cooperativa Médica";"RUA FERREIRA ITAJUBÁ";"790";"SALA 3 - ED. TRADE CENTER";"SANTO ANTONIO";"Mossoró";"RN";"59611030";"84";"33154534";"33154522";"ans@unimedmossoro.com.br";"FRANCISCO LUIZ GOMES DA SILVA";"DIRETOR-PRESIDENTE";5;"1999-01-05";"2015-01-26";"Pedido de cancelamento"
"339938";"00248627000166";"UNIMED NORDESTE DO CEARÁ - COOPERATIVA DE TRABALHO MÉDICO LTDA.";"UNIMED NORDESTE DO CEARÁ - COOPERATIVA DE TRABALHO MÉDICO LTDA.";"Cooperativa Médica";"RUA MAJOR BARRETO";"1433";;"CENTRO";"Itapajé";"CE";"62600000";"88";"33460092";"36311303";"roberto@unimedceara.com.br";"FRANCISCO JÚNIOR BARROSO BASTOS";"PRESIDENTE";5;"1998-12-21";"2011-04-20";"Pedido de cancelamento"
"396028";"02816850000198";"UNIMED NORDESTE GOIANO COOPERATIVA DE TRABALHO MÉDICO";"UNIMED NORDESTE GOIANO";"Cooperativa Médica";"RUA HERCULANO LOBO ";"92";;"CENTRO";"Formosa";"GO";"73800000";"61";"6318004";"6318004";"uniformosa@uol.com.br";"GALDINO SILVA NETO";"DIRETOR PRESIDENTE";;"1998-12-24";"2006-01-27";"Pedido de cancelamento"
"413356";"01559456000159";"UNIMED OESTE PAULISTA - FEDERAÇÃO REGIONAL DAS COOP. MÉDICAS";"UNIMED OESTE PAULISTA";"Cooperativa Médica";"RUA AGOSTINHO HONORIO BRAGA";"85";;"JARDIM MARACANÃ";"São José do Rio Preto";"SP";"15092010";"17";"32166460";"32166460";"diretoria@unimedop.com.br";"IRMO BASSI JUNIOR DR";"DIRETOR PRESIDENTE";5;"2001-03-16";"2007-10-30";"Pedido de cancelamento"
"369233";"41191677000131";"UNIMED PALMEIRA DOS ÍNDIOS COOPERATIVA DE TRABALHO MÉDICO";"UNIMED PALMEIRA DOS ÍNDIOS";"Cooperativa Médica";"AVENIDA GRACILIANO RAMOS ";"198";;"PARAISO";"Palmeira dos Índios";"AL";"57602130";"82";"34212182";"34212182";"unimed@unimedpalmeira.com.br";"DENIO FERNANDO CALIXTO BARROS";"PRESIDENTE";5;"1998-12-21";"2025-03-22";"Pedido de cancelamento"
"397865";"25949611000101";"UNIMED PARQUE CIMENTEIRO COOPERATIVA DE TABALHO MEDICO LTDA";"UNIMED PARQUE CIMENTEIRO";"Cooperativa Médica";"RUA JOAO BARBOSA DA FONSECA, 58";;;"CENTRO";"Vespasiano";"MG";"33200000";"31";"32296542";"32839753";"assuntos.regulatorios@unimedbh.com.br";"EUDES ARANTES MAGALHÃES";"DIRETOR DE GESTÃO ASSISTENCIAL";5;"1998-12-16";"2003-09-18";"Por incorporação"
"303585";"66405119000152";"UNIMED PEDRO LEOPOLDO COOPERATIVA DE TRABALHO MÉDICO LTDA";"UNIMED PEDRO LEOPOLDO";"Cooperativa Médica";"RUA COMENDADOR ANTONIO ALVES";"116";;"CENTRO";"Pedro Leopoldo";"MG";"33600000";"003";"36611311";"36623744";"gerencia@unimedpl.com.br";"SERGIO COUBE BOGADO JUNIOR";"PRESIDENTE";5;"1998-12-17";"2010-03-11";"Pedido de cancelamento"
"337269";"70002308000151";"UNIMED PENEDO COOPERATIVA DE TRABALHO MÉDICO";"UNIMED PENEDO COOPERATIVA DE TRABALHO MÉDICO ";"Cooperativa Médica";"RUA DR CARLOS MARTINS";"35";;"CENTRO";"Penedo";"AL";"57200000";"82";"35513033";"35513662";"diretoria@unimedpenedo.com.br";"PEDRO ADVINCULA FALCAO NETO";"PRESIDENTE";5;"1998-12-21";"2011-08-15";"Pedido de cancelamento"
"325759";"02846189000163";"UNIMED PERNAMBUCANA - FEDERAÇÃO DAS COOPERATIVAS MÉDICAS PERNAMBUCANAS";"UNIMED PERNAMBUCANA";"Cooperativa Médica";"RUA FRANCISCO ALVES";"325";"S 801 A 805 L 1";"ILHA DO LEITE";"Recife";"PE";"50070490";"81";"32221143";"32221988";"fedmpe@terra.com.br";"MARIA DE LOURDES CORREA DE ARAUJO";"PRESIDENTE";5;"1998-12-30";"2016-08-08";"Pedido de cancelamento"
"379778";"24155335000147";"UNIMED PERNAMBUCO CENTRAL - COOPERATIVA DE TRABALHO MÉDICO";"UNIMED PERNAMBUCO CENTRAL";"Cooperativa Médica";"RUA GERMANO MAGALHÃES BASTOS";"114";;"CENTRO";"Arcoverde";"PE";"56506550";"87";"38211090";"38211521";"diretoria@unimedpecentral.com.br";"ADILSON VALGUEIRO DE CARVALHO BARROS";"DIR. PRESIDENTE";5;"1998-12-30";"2018-02-02";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"300896";"69599934000198";"UNIMED PIAUI - FEDERAÇAO DAS COOPERATIVAS DE TRABALHO MÉDICO";"UNIMED PIAUI";"Cooperativa Médica";"AV JOSE DOS SANTOS SILVA";"1310";;"CENTRO";"Teresina";"PI";"64017050";;"32216880";"32222522";"unimed@unimedpiaui.com.br";"THADEU JOSÉ FERNANDES FORTES";"PRESIDENTE";5;"1998-12-21";"2008-02-18";"Descumprimento da RN n.º 100/2005"
"416576";"69599934000198";"UNIMED PIAUI FEDERAÇÃO DAS COOPERATIVAS DE TRABALHO MEDICO DO ESTADO DO PIAUI";"UNIMED PIAUÍ";"Cooperativa Médica";"AVENIDA JOSÉ DOS SANTOS E SILVA";"1310";;"CENTRO";"Teresina";"PI";"64076410";"86";"32216880";"32216880";"jesus@unimedpiaui.com.br";"EMMANUEL AUGUSTO DE CARVALHO FONTES";"DIRETOR PRESIDENTE";5;"2008-02-18";"2019-07-30";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"385751";"00358011000148";"UNIMED PIRAQUEAÇU COOPERATIVA DE TRABALHO MÉDICO";;"Cooperativa Médica";"RUA: FIORY TERCI";"290";;"GINASIO";"Aracruz";"ES";"29194062";"27";"32569550";"32569591";"contabilidade@unimedpq.com.br";"EUDAYR ALVES MOREIRA JÚNIOR";"PRESIDENTE";5;"1998-12-16";"2016-08-08";"Pedido de cancelamento"
"310131";"36862415000111";"UNIMED PLANALTO - COOPERATIVA DE TRABALHO MÉDICO";"UNIMED PLANALTO";"Cooperativa Médica";"PRAÇA RAIMUNDO DE ARAÚJO MELO";"S/N";;"CENTRO";"Luziânia";"GO";"72800630";"61";"36221009";"36221647";"unimed@unimedplanalto.com.br";"LUCAS ANTÔNIO RORIZ DE MORAES";"PRESIDENTE";5;"1998-12-24";"2024-12-16";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"316857";"70122262000104";"UNIMED REGIONAL BREJO PARAIBANO - SOCIEDADE COOPERATIVA DE TRABALHO MÉDICO";"UNIMED REGIONAL BREJO PARAIBANO";"Cooperativa Médica";"RUA NAPOLEÃO LAUREANO";"59";;"CENTRO";"Guarabira";"PB";"58200000";"83";"32714041";"32714042";"unimedgb@uol.com.br";"GERALDO CAMILO";"PRESIDENTE";6;"1998-12-21";"2010-10-28";"Pedido de cancelamento"
"322717";"41314246000115";"UNIMED REGIONAL DE ARACATI- COOPERATIVA DE TRABALHO MÉDICO L";"UNIMED REGIONAL DE ARACATI";"Cooperativa Médica";"TRAVESSA JOAO ADOLFO";"940";;"CENTRO";"Aracati";"CE";"62800000";"88";"34212424";"34212424";"roberto@unimedceara.com.br";"ANTONIO RODRIGUES UCHOA";"PRESIDENTE";5;"1998-12-21";"2010-09-22";"Deliberação de Diretoria Colegiada"
"356212";"41316696000147";"UNIMED REGIONAL DE CRATEUS COOPERATIVA DE TRAB MÉDICO LTDA.";"UNIMED REGIONAL DE CRATEUS";"Cooperativa Médica";"RUA CEL ZEZE";"1221";;"CENTRO";"Crateús";"CE";"63700000";"88";"36910899";"36910274";"ans@unimedceara.com.br";"RAIMUNDO NONATO LIMA MELO";"PRESIDENTE";5;"1998-12-21";"2014-11-14";"Pedido de cancelamento"
"383520";"41972589000177";"UNIMED SANTO ANTONIO DE JESUS COOP TRAB MED";"UNIMED SANTO ANTONIO DE JESUS";"Cooperativa Médica";"RUA A LOTEAMENTO QUINTA INGLESES, 89";"89";"CASA";"CENTRO";"Santo Antônio de Jesus";"BA";"44570000";"75";"33113100";;"mirellasena@msn.com";"AILTON BARBOSA ASSIS";"DIRETOR PRESIDENTE";5;"1999-01-12";"2019-10-14";"Pedido de cancelamento"
"362620";"19775840000154";"UNIMED SANTOS DUMONT SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS LTDA.";"UNIMED SANTOS DUMONT SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS L";"Cooperativa Médica";"AV PRESIDENTE GETÚLIO VARGAS";"378";;"CENTRO";"Santos Dumont";"MG";"36240000";"03";"232513145";"232514710";"unimed@unimedsd.com.br";"EDUARDO PEREIRA";"DIRETOR PRESIDENTE";5;"1998-12-17";"2017-05-26";"Pedido de cancelamento"
"006947";"92863505000106";"UNIMED SEGURADORA S/A";;"Seguradora";"AL SANTOS";"1827";"9º ANDAR";"CERQUEIRA CÉSAR";"São Paulo";"SP";"01419909";"11";"2459700";;;"MARCELO NOCE ROCHA";"DIRETOR TÉCNICO";;"1998-12-16";"2002-03-22";"Adequação à Lei no. 10.185/2001"
"343196";"01150489000140";"UNIMED SERRA DO CARAÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.";"UNIMED SERRA DO CARAÇA COOPERATIVA DO TRABALHO MEDICO LTDA";"Cooperativa Médica";"RUA TENENTE CARLOS";"146";;"CENTRO";"Santa Bárbara";"MG";"35960000";"31";"38322199";"38322199";"unimedse@unimedserradocaraca.com.br";"MARCO AURÉLIO SECCHES";"PRESIDENTE";5;"1998-12-18";"2010-07-13";"Pedido de cancelamento"
"318728";"41317124000182";"UNIMED SERTAO CENTRAL COOPERATIVA DE TRABALHO MÉDICO";"UNIMED SERTÃO CENTRAL DO CEARA";"Cooperativa Médica";"RUA DA CRUZ";"281";;"CENTRO";"Quixeramobim";"CE";"63800000";"088";"34411515";"34411215";"roberto@unimedceara.com.br";"WALMIR LEITE PONTES";"PRESIDENTE";6;"1998-12-21";"2007-02-26";"Pedido de cancelamento"
"349534";"24014235000109";"UNIMED SETE LAGOAS COOPERATIVA TRABALHO MÉDICO";"UNIMED SETE LAGOAS COOPERATIVA TRABALHO MEDICO";"Cooperativa Médica";"RUA CORONEL RANDOLFO SIMÕES";"281";;"BOA VISTA";"Sete Lagoas";"MG";"35700102";"31";"32296542";"32839753";"assuntos.regulatorios@unimedbh.com.br";"EUDES ARANTES MAGALHÃES";"DIRETOR DE GESTÃO ASSISTENCIAL";5;"1998-12-17";"2025-07-25";"Por incorporação"
"402834";"03029587000150";"UNIMED STA RITA, STA ROSA E SÃO SIMÃO COOP. TRAB. MÉDICO";"UNIMED STA RITA, STA ROSA E SÃO SIMÃO";"Cooperativa Médica";"RUA MARECHAL DEODORO";"1157";;"CENTRO";"Santa Rita do Passa Quatro";"SP";"13670000";"19";"35829999";;"unimed@unimedsantarita.coop.br";"JOSÉ EDUARDO CANALLI";"DIRETOR PRESIDENTE";5;"1999-03-31";"2024-06-06";"Pedido de cancelamento"
"414646";"04877277000158";"UNIMED SUDESTE PAULISTA - FEDERAÇÃO REGIONAL DAS COOPERATIVA";"UNIMED SUDESTE PAULISTA";"Cooperativa Médica";"AV. PAULISTA";"807";"3 AN CJ 301/303";"CERQUEIRA CESAR";"São Paulo";"SP";"01311100";"11";"31743300";"32667319";"diretoria@unimedsudestepaulista.com.br";"MARCOS DE ALMEIDA CUNHA";"PRESIDENTE";4;"2003-10-03";"2008-07-11";"Pedido de cancelamento"
"366145";"14112023000100";"UNIMED SUL DO PARA COOPERATIVA DE TRABALHO MÉDICO";"UNIMED SUL DO PARÁ COOPERATIVA DE TRABALHO MÉDICO";"Cooperativa Médica";"RUA SOL POENTE";"2190";;"CIDADE NOVA";"Marabá";"PA";"68501670";"94";"21038500";"21038500";"juridico@unimedsuldopara.com.br";"MARCELO FERREIRA BEZERRA";"DIRETOR PRESIDENTE";5;"1998-12-21";"2020-08-13";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"346438";"88702857000102";"UNIMED SÃO BORJA SOC. COOP. DE TRABALHO MÉDICO LTDA";"UNIMED SÃO BORJA";"Cooperativa Médica";"RUA CANDIDO FALCÃO";"544";;"CENTRO";"São Borja";"RS";"97670000";"55";"33130533";;"representantelegal_ans@unimedmissoes.com.br";"LUÍS CLÁUDIO MADUREIRA";"PRESIDENTE";5;"1998-12-22";"2007-11-28";"Por incorporação"
"353116";"00816565000141";"UNIMED SÃO MIGUEL DOS CAMPOS COOPERATIVA DE TRABALHO MÉDICO";"UNIMED SÃO MIGUEL DOS CAMPOS";"Cooperativa Médica";"AV PREFEITO MOACIR CAVALCANTE";"245";;"CENTRO";"São Miguel dos Campos";"AL";"57240000";"082";"32712228";"2715364";"unimedsmc@unimedsmcampos.com.br";"OTACILIO DE SA BOMFIM";"PRESIDENTE";6;"1998-12-23";"2007-12-14";"Pedido de cancelamento"
"328596";"72173180000114";"UNIMED URUGUAIANA/RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.";"UNIMED URUGUAIANA/RS";"Cooperativa Médica";"RUA SANTANA";"2772";"N/C";"CENTRO";"Uruguaiana";"RS";"97510504";"05";"534122193";"534125805";"unimed@unimed-uruguaiana.com.br";"LOURIVAL ARAUJO GONÇALVES";"PRESIDENTE";5;"1998-12-22";"2020-05-28";"Pedido de cancelamento"
"319813";"01511657000186";"UNIMED VALE DO ARARANGUA COOPERATIVA DE TRABALHO MEDICO LTDA";"UNIMED ARARANGUA";"Cooperativa Médica";"AV. SETE DE SETEMBRO";"2108";;"CENTRO";"Araranguá";"SC";"88900000";"048";"5240474";"5240474";"roberto@condor-r.com.br";"DR. ODILON BATISTA SOARES";"PRESIDENTE";;"1998-12-17";"2002-07-19";"Pedido de cancelamento"
"309877";"02686190000178";"UNIMED VALE DO AÇU - COOPERATIVA DE TRABALHO MÉDICO";"UNIMED VALE DO AÇU";"Cooperativa Médica";"RUA DR. LUIZ CARLOS";"3646";;"NOVO HORIZONTE";"Açu";"RN";"59650000";"84";"33311515";"33312699";"unimedassu@uol.com.br";"JOSÉ DE ARIMATÉIA TAVARES";"DIRETOR PRESIDENTE";5;"1999-01-07";"2014-10-22";"Pedido de cancelamento"
"356832";"41314220000177";"UNIMED VALE DO JAGUARIBE - COOPERATIVA DE TRABALHO MÉDICO";"UNIMED VALE DO JAGUARIBE";"Cooperativa Médica";"RUA CORONEL ANTONIO JOAQUIM";"1311";;"CENTRO";"Limoeiro do Norte";"CE";"62930000";"88";"34234949";"34234949";"ans@unimedceara.com.br";"ANTONIO CARLOS PESSOA CHAVES";"PRESIDENTE";5;"1998-12-23";"2012-05-28";"Pedido de cancelamento"
"30998";"64366099000122";"UNIODONTO ARAGUARI COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA";"UNIODONTO ARAGUARI";"Cooperativa odontológica";"R. QUINCA MARIANO";"212";;"CENTRO";"Araguari";"MG";"38440000";"34";"2410860";"2410860";;;;;"1998-12-17";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"320935";"21742853000179";"UNIODONTO BH- COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA";"UNIODONTO-BH";"Cooperativa odontológica";"AV. FRANCISCO SALES";"1463";"3º ANDAR";"BAIRRO DOS FUNCIONÁRIOS";"Belo Horizonte";"MG";"30150221";"31";"2416222";;"uniodonto.bh@uniodontobh.org.br";"JOSÉ DANIEL FERREIRA GOMES";;;"1998-12-16";"2001-05-03";"Pedido de cancelamento"
"30200";"01275393000109";"UNIODONTO BRASILIA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA.";"UNIODONTO BRASÍLIA";"Cooperativa odontológica";"SRTUS";"701";"CONJ. D Nº 280 BLOCO A  SALA 732";"ASA SUL";"Brasília";"DF";"73340907";"61";"2233322";"2233322";"uniodbsb@tba.com.br";;;;"1998-12-17";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"401617";"94989894000138";"UNIODONTO CACHOEIRA DO SUL - COOP DE TRAB ODONTOLÓGICO LTDA.";"UNIODONTO CACHOEIRA DO SUL";"Cooperativa odontológica";"RUA SETE DE SETEMBRO ";"1014";" SALA 14";"CENTRO";"Cachoeira do Sul";"RS";"96708010";"51";"37234782";"37234782";"ze@officcio.com.br";"LUCIANO HUBNER DA SILVA";"PRESIDENTE";;"1999-03-10";"2004-07-12";"Pedido de cancelamento"
"406287";"02875271000116";"UNIODONTO CAMPOS- COOPERATIVA DE TRABALHO ODONTOLÓGICO.";"UNIODONTO-CAMPOS";"Cooperativa odontológica";"RUA CONSELHEIRO OTAVIANO";"84";"SALA 604 B";"CENTRO";"Campos dos Goytacazes";"RJ";"28010140";"24";"99843336";"7236947";"unicampos@censa.com.br";"DR. GILSON DE QUEIROZ VIERIA JUNIR";;;"1999-07-13";"2003-05-29";"Ausência de operação - Deliberação de Diretoria Colegiada"
"355011";"02246412000131";"UNIODONTO CIRCUITO DAS ÁGUAS COOPERATIVA ODONTOLÓGICA LTDA";"UNIODONTO";"Cooperativa odontológica";"RUA CORONEL JOSE JUSTINO";"459";"SALA 101";"CENTRO";"São Lourenço";"MG";"37470000";"35";"33322727";"33322727";"uniodontoca@uol.com.br";"RICARDO LUIS GANHAM DE CASTRO";"DIRETOR FINANCEIRO";5;"1998-12-18";"2013-09-04";"Descumprimento de disposição legal"
"408948";"01589948000197";"UNIODONTO COLATINA COOPERATIVA ODONTOLÓGICA";"UNIDONTO VALE DO RIO DOCE";"Cooperativa odontológica";"AVENIDA ANGELO GIUBERTI";"117";"SALA 302";"CENTRO";"Colatina";"ES";"29703060";"27";"37220909";"37220909";"uniocol@terra.com.br";"MARLUCE DE VASCONCELOS TAVARES";"DIRETOR PRESIDENTE";5;"1999-10-08";"2008-07-11";"Pedido de cancelamento"
"32642";"01141489000184";"UNIODONTO COOP ODONTOLOGICA DE C E R AGREST DO EST PE";"UNIODONTO CARUARU";"Cooperativa odontológica";"RUA VIDAL DE NEGREIROS";"198";;"CENTRO";"Caruaru";"PE";"55006431";"81";"7216769";"7216769";"uniodontocaruaru@netstage.com.br";;;;"1998-12-29";"1999-09-20";"Descumprimento da Circular SUSEP no. 77/1999"
"378844";"65387938000151";"UNIODONTO COOP. DE TRAB. ODONTOLOGICOS NORTE DE MINAS";"UNIODONTO NORTE DE MINAS";"Cooperativa odontológica";"RUA SAO FRANCISCO";"390";"502";"CENTRO";"Montes Claros";"MG";"39400048";"38";"2212323";"2212323";;"EDUARDO BRANDAO LIMA";"PRESIDENTE";;"1998-12-29";"2004-12-07";"Pedido de cancelamento"
"381357";"01577427000110";"UNIODONTO COOPERATIVA DE TRABALHOS ODONTOLÓGICOS LTDA";"UNIODONTO COOP TRAB ODONTOLÓGICOS";"Cooperativa odontológica";"RUA FERNÃO DIAS";"271";"SALA 207";"CARNEIRINHOS";"João Monlevade";"MG";"35930000";"31";"38515611";"38515611";"conexcel@robynet.com.br";"JOSÉ CARLOS DE ABREU";"PRESIDENTE";;"1998-12-24";"2004-12-20";"Pedido de cancelamento"
"323632";"01564858000141";"UNIODONTO COOPERATIVA TRABALHO ODONTOLOGICO DE PARA DE MINAS";"UNIODONTO PARA DE MINAS";"Cooperativa odontológica";"RUA MAJOR FIDELIS";"150";;"CENTRO";"Pará de Minas";"MG";"35660109";"03";"732321522";"732321522";"uniodonto@parademinas.com.br";"HENRIQUE MARCOS FERREIRA";"DIRETOR PRESIDENTE";5;"1998-12-18";"2022-04-25";"Alternat. à Liquidação - Deliberação de Diretoria Colegiada"
"392677";"00461585000147";"UNIODONTO DE ARARAS COOPERATIVA ODONTOLOGICA";;"Cooperativa odontológica";"RUA JULIO MESQUITA";"513";"SALA 13";"CENTRO";"Araras";"SP";"13600000";"19";"5415713";"5415713";"hsf@linkway.com.br";"HUGO SIGNORETTI FILHO";"X";;"1998-12-16";"2000-10-09";"Pedido de cancelamento"
"364878";"02213082000188";"UNIODONTO DE ASSIS COOPERATIVA ODONTOLOGICA";"UNIODONTO DE ASSIS";"Cooperativa odontológica";"RUA SEBASTIAO DA SULVA LEITE";"1044";;"CENTRO";"Assis";"SP";"19800000";"18";"3225875";"3225875";;"DR.  EDUARDO DE CAMARGO NETO";"ADMINISTRADOR";;"1998-12-16";"2002-07-19";"Pedido de cancelamento"
"324027";"01478517000153";"UNIODONTO DE BARBACENA-COOP.DE TRAB.ODONTOLOGICO LTDA";"UNIODONTO DE BARBACENA";"Cooperativa odontológica";"AV. BIAS FORTES";"895";;"CENTRO";"Barbacena";"MG";"36200000";"32";"3317022";"3317022";;"MARIO WILSON BECHO CAMPOS";"PRESIDENTE";;"1998-12-29";"2002-07-19";"Pedido de cancelamento"
"307696";"02320499000140";"UNIODONTO DE BARRETOS - COOPERATIVA ODONTOLÓGICA";"UNIDONTO DE BARRETOS";"Cooperativa odontológica";"RUA 18";"71";;"CENTRO";"Barretos";"SP";"14780680";"17";"33234100";"33234100";"uniodontobarretos@investnet.com.br";"INAMA DE MELLO FILHO";"PRESIDENTE";6;"1998-12-16";"2012-12-18";"Deliberação de Diretoria Colegiada"
"340961";"53764726000167";"UNIODONTO DE BAURU COOPERATIVA DE TRABALHO ODONTOLOGICA";"UNIODONTO DE BAURU COOPERATIVA DE TRABALHO ODONTOLOGICA";"Cooperativa odontológica";"RUA GUSTAVO MACIEL";"11-11";;"CENTRO";"Bauru";"SP";"17015320";"14";"2347466";;"uniobru@travelnet.com.br";"ACYR SANTINHO MOTA";"LIQUIDANTE";;"1998-12-16";"2012-06-29";"Deliberação de Diretoria Colegiada"
"306193";"02478779000180";"UNIODONTO DE BRAGANÇA PAULISTA COOP DE TRABALHO ODONTOLÓGICO";"UNIODONTO BRAGANÇA PAULISTA";"Cooperativa odontológica";"RUA DR. CANDIDO RODRIGUES";"85";"SALA 04";"CENTRO";"Bragança Paulista";"SP";"12900360";"11";"40335703";"40335703";"uniodontob@uol.com.br";"ADRIANO FRANCO DE OLIVEIRA";"PRESIDENTE";5;"1998-12-17";"2019-12-24";"Pedido de cancelamento"
